id,name,est_diameter_min,est_diameter_max,relative_velocity,miss_distance,orbiting_body,sentry_object,absolute_magnitude,hazardous
2003362,3362 Khufu (1984 QA),0.58150704,1.30028927,37279.21093,32530625.54,Earth,FALSE,18.3,TRUE
2004688,4688 (1980 WF),0.337718597,0.755161741,25692.76738,25448430.02,Earth,FALSE,19.48,FALSE
2252558,252558 (2001 WT1),0.242412481,0.542050786,39304.72151,70760700.69,Earth,FALSE,20.2,FALSE
2452334,452334 (2001 LB),0.167708462,0.375007522,40893.82421,40940821.43,Earth,FALSE,21,FALSE
3067492,(2000 YS134),0.063760979,0.142573883,17928.59766,9980651.395,Earth,FALSE,23.1,FALSE
3313974,(2006 BV39),0.004023046,0.008995804,78622.5635,69474732,Earth,FALSE,29.1,FALSE
3379718,(2007 NL1),0.152951935,0.342010925,58668.28989,42979239.02,Earth,FALSE,21.2,FALSE
3463175,(2009 LW2),0.305179233,0.682401509,67427.24133,10094722.24,Earth,FALSE,19.7,TRUE
3572706,(2011 OB),0.366906138,0.820427065,93603.43889,71488075.81,Earth,FALSE,19.3,TRUE
3731680,(2015 UK),0.013949382,0.031191767,34034.94448,61591110.14,Earth,FALSE,26.4,FALSE
3740825,(2016 BN1),0.197949759,0.442629117,45273.27541,64417544.93,Earth,FALSE,20.64,FALSE
3986682,(2020 AN3),0.211132445,0.472106499,61503.17484,20252342.66,Earth,FALSE,20.5,TRUE
2085182,85182 (1991 AQ),1.024601475,2.291078547,133569.0448,59192889.51,Earth,FALSE,17.07,TRUE
3395956,(2007 WM3),0.063760979,0.142573883,34057.46453,19271833.51,Earth,FALSE,23.1,FALSE
3624232,(2013 AJ91),0.334622375,0.748238376,178961.5176,70621103.5,Earth,FALSE,19.5,FALSE
3794971,(2017 YP1),0.019255508,0.043056624,62992.15855,66598567.76,Earth,FALSE,25.7,FALSE
54158069,(2021 LW3),0.064055286,0.143231975,62231.12402,63279390.96,Earth,FALSE,23.09,FALSE
3557536,(2011 CL50),0.009216266,0.020608196,10942.40209,2730963.526,Earth,FALSE,27.3,FALSE
3656918,(2014 BF3),0.167708462,0.375007522,45437.90245,57358435.8,Earth,FALSE,21,FALSE
54057195,(2020 FG15),0.055533491,0.124176661,19618.64287,56141970.82,Earth,FALSE,23.4,FALSE
54137509,(2021 GS12),0.020162992,0.045085821,27829.88095,36667240.84,Earth,FALSE,25.6,FALSE
2503880,503880 (2000 YJ29),0.689532875,1.54184238,104251.3301,55849922.18,Earth,FALSE,17.93,FALSE
3172329,(2004 BK11),0.088014652,0.196806745,10141.45735,50747985.76,Earth,FALSE,22.4,FALSE
3740044,(2016 AJ165),0.022108281,0.049435619,45840.96637,31892139.72,Earth,FALSE,25.4,FALSE
3776011,(2017 MZ2),0.020162992,0.045085821,48278.26608,53508267.18,Earth,FALSE,25.6,FALSE
54017304,(2020 KB7),0.008801465,0.019680675,17681.6094,34661779.89,Earth,FALSE,27.4,FALSE
54091635,(2020 WR1),0.034241673,0.076566709,67031.14096,53359100.78,Earth,FALSE,24.45,FALSE
2086450,86450 (2000 CK33),0.555334912,1.241766613,44690.61054,29895907.53,Earth,FALSE,18.4,FALSE
2162854,162854 (2001 DE47),0.42320908,0.946324271,41150.29992,32448956.55,Earth,FALSE,18.99,FALSE
2425755,425755 (2011 CP4),0.152951935,0.342010925,138119.6179,42449777.79,Earth,FALSE,21.2,TRUE
3605793,(2012 MP),0.167708462,0.375007522,32849.27184,71821360.45,Earth,FALSE,21,FALSE
3610526,(2012 TO139),0.284809831,0.636854144,121698.2652,14343696.1,Earth,FALSE,19.85,TRUE
3625335,(2013 BC70),0.040230458,0.089958039,56257.76642,15729242.28,Earth,FALSE,24.1,FALSE
3653190,(2013 US3),0.145396843,0.325117225,60442.5024,73445496.68,Earth,FALSE,21.31,TRUE
3685814,(2014 RF11),0.046190746,0.103285648,17937.5673,46437179.76,Earth,FALSE,23.8,FALSE
3753287,(2016 JU28),0.007665756,0.017141151,49951.05688,58899445.12,Earth,FALSE,27.7,FALSE
54248008,(2022 DG),0.009474471,0.021185562,66140.41328,65984450.49,Earth,FALSE,27.24,FALSE
2026663,26663 (2000 XK47),0.589596608,1.318378096,54040.42642,8995868.484,Earth,FALSE,18.27,TRUE
2138911,138911 (2001 AE2),0.375452479,0.839537266,18349.90208,58466943.87,Earth,FALSE,19.25,FALSE
2153219,153219 (2000 YM29),0.520660914,1.164233197,80511.75444,42118247.58,Earth,FALSE,18.54,FALSE
2162117,162117 (1998 SD15),0.421264611,0.941976306,79531.90922,72192646.94,Earth,FALSE,19,FALSE
2230111,230111 (2001 BE10),0.40230458,0.899580388,46055.70424,6481999.517,Earth,FALSE,19.1,TRUE
3656413,(2014 BP),0.025383703,0.056759685,36084.47596,3945815.604,Earth,FALSE,25.1,FALSE
3673866,(2014 MR5),0.036690614,0.082042707,37922.05764,32345980.95,Earth,FALSE,24.3,FALSE
3699442,(2014 WP362),0.060891262,0.136157002,41350.48334,41971848.04,Earth,FALSE,23.2,FALSE
54017323,(2020 KP7),0.110803882,0.247765013,70986.82559,62866556.47,Earth,FALSE,21.9,FALSE
54101674,(2020 YL2),0.026702688,0.059709025,97279.05677,63163057.85,Earth,FALSE,24.99,FALSE
54104542,(2021 AG1),0.037545248,0.083953727,54577.4835,30382200.87,Earth,FALSE,24.25,FALSE
54264233,(2022 FY),0.00708851,0.015850391,68836.10234,64249245.55,Earth,FALSE,27.87,FALSE
2068031,68031 (2000 YK29),0.628861456,1.406176963,28380.34718,48566372.72,Earth,FALSE,18.13,FALSE
2455199,455199 (2000 YK4),0.291443905,0.651688382,56585.6108,25876695.05,Earth,FALSE,19.8,FALSE
3071939,(2001 BB16),0.060891262,0.136157002,14838.50951,2547549.296,Earth,FALSE,23.2,FALSE
3102762,(2002 AA29),0.040230458,0.089958039,21809.76629,9646922.004,Earth,FALSE,24.1,FALSE
3655734,(2014 AB),0.167708462,0.375007522,50274.75255,43377698.49,Earth,FALSE,21,FALSE
3841199,(2019 GK20),0.030517923,0.068240151,45889.53687,40318791.07,Earth,FALSE,24.7,FALSE
3125003,(2002 JE9),0.139493823,0.311917671,50481.48332,55614625.95,Earth,FALSE,21.4,TRUE
3471976,(2009 TD17),0.007665756,0.017141151,26099.374,50464532.33,Earth,FALSE,27.7,FALSE
3768653,(2017 CW1),0.139493823,0.311917671,33773.1376,60702844.42,Earth,FALSE,21.4,FALSE
3790129,(2017 XD),0.876102615,1.959025002,167372.8035,73659764.57,Earth,FALSE,17.41,FALSE
3799636,(2018 CV13),0.155079709,0.346768771,35075.26186,60171726.46,Earth,FALSE,21.17,FALSE
3842613,(2019 KZ2),0.139493823,0.311917671,67641.07611,47859116.3,Earth,FALSE,21.4,FALSE
54049789,(2020 OT4),0.014606796,0.03266179,24060.65912,55084322.6,Earth,FALSE,26.3,FALSE
2612358,612358 (2002 JE9),0.140784543,0.314803809,50481.48353,55614625.94,Earth,FALSE,21.38,TRUE
3072545,(2001 BD16),0.269497646,0.602615057,96789.97619,21833515.75,Earth,FALSE,19.97,FALSE
3398648,(2007 YM56),0.091317703,0.204192591,25026.34941,55416465.2,Earth,FALSE,22.32,FALSE
3684344,(2014 QK362),0.127219879,0.284472297,59454.91495,57559689.11,Earth,FALSE,21.6,FALSE
3743119,(2016 CW137),0.334622375,0.748238376,82722.61915,44181157.57,Earth,FALSE,19.5,TRUE
3795036,(2017 YW3),0.013321557,0.029787906,47824.61386,54068936.69,Earth,FALSE,26.5,FALSE
3797488,(2018 AX3),0.058150704,0.130028927,42486.44437,60865354.46,Earth,FALSE,23.3,FALSE
3893740,(2019 WK5),0.192555078,0.430566244,45851.83705,34060548.52,Earth,FALSE,20.7,FALSE
54239541,(2022 BA),0.141434375,0.316256878,53188.88599,32438340.71,Earth,FALSE,21.37,TRUE
2020790,20790 (2000 SE45),1.407845434,3.148038092,20431.90061,40374852.1,Earth,FALSE,16.38,FALSE
2537829,537829 (2015 XY378),0.309424699,0.69189466,35424.59499,36054346.49,Earth,FALSE,19.67,FALSE
3068066,(2001 BA16),0.016770846,0.037500752,18373.88715,306175.9617,Earth,FALSE,26,FALSE
3092288,(2001 BN61),0.02658,0.059434687,31621.78875,3485924.166,Earth,FALSE,25,FALSE
3725977,(2015 PC228),0.334622375,0.748238376,46693.00405,34353002.25,Earth,FALSE,19.5,FALSE
3746629,(2016 EN156),0.00732074,0.016369672,27295.23063,72413359.57,Earth,FALSE,27.8,FALSE
3801934,(2018 EJ4),0.141434375,0.316256878,30806.14906,71898983.57,Earth,FALSE,21.37,TRUE
3802037,(2018 FA3),0.073207399,0.163696721,60614.63238,51096758.64,Earth,FALSE,22.8,FALSE
3841713,(2019 JM1),0.042126461,0.094197631,71055.47812,73292925.54,Earth,FALSE,24,FALSE
3985571,(2020 AV2),1.550797087,3.467687706,44991.45244,74705495.74,Earth,FALSE,16.17,FALSE
3986701,(2020 BE),0.110803882,0.247765013,88216.37613,34552177.43,Earth,FALSE,21.9,FALSE
2594913,594913 'Aylo'chaxnim (2020 AV2),1.52249185,3.404395273,44991.34776,74705467.3,Earth,FALSE,16.21,FALSE
2526742,526742 (2006 WR127),0.231502122,0.517654482,49211.35994,29876833.17,Earth,FALSE,20.3,FALSE
3554439,(2010 YO),0.031956189,0.07145621,51531.02959,39698280.22,Earth,FALSE,24.6,FALSE
3588787,(2011 WK15),0.305179233,0.682401509,64788.30583,64251607.61,Earth,FALSE,19.7,FALSE
3789119,(2017 VA2),0.058150704,0.130028927,42545.64188,53414529.84,Earth,FALSE,23.3,FALSE
54209481,(2021 TC15),0.089650967,0.200465656,63776.39048,53582579.43,Earth,FALSE,22.36,FALSE
54244780,(2022 CC1),0.010012787,0.022389272,49256.00824,36310465.95,Earth,FALSE,27.12,FALSE
3157021,(2003 ME1),0.050647146,0.113250461,43948.72375,46738983.34,Earth,FALSE,23.6,FALSE
3516632,(2010 GR75),0.319561887,0.714562102,76744.77145,53147174.81,Earth,FALSE,19.6,FALSE
3740496,(2016 AG193),0.052547853,0.117500572,54406.2431,28247131.12,Earth,FALSE,23.52,FALSE
3751530,(2016 GF216),0.027832677,0.062235757,20944.80359,58831504.66,Earth,FALSE,24.9,FALSE
3781006,(2017 QY16),0.305179233,0.682401509,95061.66363,61738863.87,Earth,FALSE,19.7,FALSE
3830496,(2018 RP8),0.295498293,0.660754271,48952.76104,62510142.69,Earth,FALSE,19.77,FALSE
54054459,(2020 RS9),0.04411182,0.098637028,57716.21718,39945539.14,Earth,FALSE,23.9,FALSE
2469929,469929 (2006 AK8),0.167708462,0.375007522,55369.94346,16915016.35,Earth,FALSE,21,FALSE
3313180,(2006 BC),0.375452479,0.839537266,91343.42086,35988937.43,Earth,FALSE,19.25,FALSE
3506746,(2010 CA),0.036690614,0.082042707,100967.3726,68100526.38,Earth,FALSE,24.3,FALSE
3837827,(2019 AO10),0.192555078,0.430566244,107904.8998,55511441.83,Earth,FALSE,20.7,FALSE
3989673,(2020 CN1),0.076657557,0.171411509,34791.01951,32827617.75,Earth,FALSE,22.7,FALSE
54130498,(2021 EY1),0.012261821,0.027418266,42854.86832,68709944.12,Earth,FALSE,26.68,FALSE
54245562,(2022 CW1),0.009830033,0.021980622,96128.47068,58250484.59,Earth,FALSE,27.16,FALSE
2267223,267223 (2001 DQ8),0.63760979,1.425738833,88276.66424,54340555.72,Earth,FALSE,18.1,FALSE
2368184,368184 (2000 RN77),0.334622375,0.748238376,50526.55054,44291839.5,Earth,FALSE,19.5,FALSE
3092286,(2001 BB40),0.031956189,0.07145621,38796.45982,5427640.685,Earth,FALSE,24.6,FALSE
3072405,(2001 BO60),0.366906138,0.820427065,64966.80628,67509531.08,Earth,FALSE,19.3,FALSE
3154493,(2003 JV14),0.133215567,0.297879063,53881.46447,43969583.78,Earth,FALSE,21.5,FALSE
3748182,(2016 FJ3),0.084441313,0.188816516,46763.78824,28137757.8,Earth,FALSE,22.49,FALSE
54016640,(2020 HV2),0.40230458,0.899580388,95019.50658,31087922.34,Earth,FALSE,19.1,FALSE
54101721,(2020 YK3),0.009830033,0.021980622,35067.58008,23461016.04,Earth,FALSE,27.16,FALSE
3177193,(2004 EL20),0.012149404,0.027166893,46519.53688,35933976.44,Earth,FALSE,26.7,FALSE
3797674,(2018 AB12),0.035039264,0.078350176,74970.08335,69789155.5,Earth,FALSE,24.4,FALSE
3825556,(2018 NS),0.096506147,0.215794305,68192.20956,50062346.67,Earth,FALSE,22.2,FALSE
54153123,(2021 LH),0.030377706,0.067926616,18532.70346,34395244.96,Earth,FALSE,24.71,FALSE
2509352,509352 (2007 AG),0.253837029,0.567596853,82669.7342,69143457.31,Earth,FALSE,20.1,TRUE
3005969,(1994 WR12),0.087610262,0.1959025,45297.5336,20956435.03,Earth,FALSE,22.41,FALSE
3545238,(2010 QN1),0.22108281,0.494356193,76550.42364,56395594.84,Earth,FALSE,20.4,FALSE
54269715,(2022 GE3),0.064946384,0.14522453,51937.78343,43375545.23,Earth,FALSE,23.06,FALSE
2152742,152742 (1998 XE12),0.400456158,0.895447192,119266.8351,45316749.27,Earth,FALSE,19.11,FALSE
2313538,313538 (2002 YB12),0.555334912,1.241766613,105445.8046,74299479.13,Earth,FALSE,18.4,FALSE
2385186,385186 (1994 AW1),0.780827278,1.745982871,45243.86087,38587952.89,Earth,FALSE,17.66,TRUE
3092287,(2001 BM61),0.168017677,0.375698948,46886.73005,26628341.33,Earth,FALSE,20.996,FALSE
3555411,(2011 BA),0.258556212,0.578149266,111633.2619,71132506.07,Earth,FALSE,20.06,FALSE
3656923,(2014 BP8),0.009216266,0.020608196,43245.86433,18755654.71,Earth,FALSE,27.3,FALSE
3553666,(2010 XX58),0.530340723,1.185877909,80306.32865,65309250.37,Earth,FALSE,18.5,FALSE
3645193,(2013 OY3),0.029144391,0.065168838,51543.0181,61255376.69,Earth,FALSE,24.8,FALSE
3660059,(2014 BP43),0.013321557,0.029787906,68755.50275,59208659.55,Earth,FALSE,26.5,FALSE
3797858,(2018 BH3),0.022108281,0.049435619,37160.49666,4393003.222,Earth,FALSE,25.4,FALSE
54088813,(2020 WM),0.02658,0.059434687,25958.42323,53862011.63,Earth,FALSE,25,FALSE
54235681,(2022 AM3),0.012898968,0.02884297,72458.06609,69690496.51,Earth,FALSE,26.57,FALSE
2217013,217013 (2001 AA50),0.483676488,1.081533507,75735.34876,73540603.11,Earth,FALSE,18.7,FALSE
2325395,325395 (2009 CQ5),0.836671502,1.870854353,48594.9019,36842649.9,Earth,FALSE,17.51,TRUE
2497135,497135 (2004 QD20),0.634680239,1.419188158,99305.79664,58486224.21,Earth,FALSE,18.11,FALSE
2523804,523804 (2000 YF29),0.239086457,0.534613571,26416.38529,2776683.672,Earth,FALSE,20.23,TRUE
3584577,(2011 UY255),0.066765941,0.149293183,19290.89105,21375397.87,Earth,FALSE,23,FALSE
3754434,(2016 NM15),0.008405334,0.018794898,23935.89105,58861217.4,Earth,FALSE,27.5,FALSE
3797491,(2018 AD4),0.069912523,0.156329154,30255.53998,24703696.77,Earth,FALSE,22.9,FALSE
3837641,(2019 AU3),0.060891262,0.136157002,30603.90766,53179586.43,Earth,FALSE,23.2,FALSE
3989194,(2020 BP8),0.021113245,0.04721065,76615.36601,17230288.54,Earth,FALSE,25.5,FALSE
2530938,530938 (2011 XE),0.365220357,0.816657545,51150.76218,52304247.23,Earth,FALSE,19.31,FALSE
3743122,(2016 CY137),0.013321557,0.029787906,60691.72444,42999675.97,Earth,FALSE,26.5,FALSE
54054332,(2020 RA7),0.010581689,0.023661375,26345.60011,6619106.967,Earth,FALSE,27,FALSE
2348306,348306 (2005 AY28),0.13018321,0.291098508,83711.72741,27582653.85,Earth,FALSE,21.55,TRUE
2427778,427778 (2005 BE),0.251509838,0.562393094,83795.74497,57680593.11,Earth,FALSE,20.12,FALSE
2495323,495323 (2014 JG78),0.305179233,0.682401509,96423.86901,59939512.73,Earth,FALSE,19.7,FALSE
3557791,(2011 BY59),0.08405334,0.187948982,49422.43114,56444691.1,Earth,FALSE,22.5,FALSE
3656928,(2014 BH25),0.127219879,0.284472297,79895.56441,30548019.66,Earth,FALSE,21.6,FALSE
3662252,(2014 DH6),0.018388867,0.041118757,96103.0421,70241996.43,Earth,FALSE,25.8,FALSE
3670630,(2014 JU15),0.029144391,0.065168838,49288.6581,72665057.97,Earth,FALSE,24.8,FALSE
3989652,(2020 CH1),0.021113245,0.04721065,34188.80727,9490144.828,Earth,FALSE,25.5,FALSE
54106576,(2021 BN2),0.025383703,0.056759685,39791.86791,53407533.57,Earth,FALSE,25.1,FALSE
2005131,5131 (1990 BG),2.83501249,6.339280645,101894.6304,66215882.86,Earth,FALSE,14.86,FALSE
2228502,228502 (2001 TE2),0.235806068,0.527278398,39251.05787,25632968.04,Earth,FALSE,20.26,FALSE
2418198,418198 (2008 CN70),0.431077124,0.963917753,85158.12952,42775215.68,Earth,FALSE,18.95,FALSE
3064315,(1998 XN17),0.073207399,0.163696721,23238.11479,33730048.35,Earth,FALSE,22.8,FALSE
3092285,(2001 BE16),0.279611466,0.625230245,74772.12626,33811933.48,Earth,FALSE,19.89,FALSE
3076609,(2001 DS8),0.080270317,0.179489885,22778.89861,10099545.29,Earth,FALSE,22.6,FALSE
3102758,(2002 AK14),0.133215567,0.297879063,34803.01997,32204224.89,Earth,FALSE,21.5,FALSE
3256321,(2004 TD10),0.101054342,0.225964377,62495.53796,74622338.87,Earth,FALSE,22.1,FALSE
3724221,(2015 ME131),0.334622375,0.748238376,81401.74073,51417974.57,Earth,FALSE,19.5,TRUE
54054410,(2020 RX8),0.319414757,0.71423311,81409.27113,51356062.57,Earth,FALSE,19.601,TRUE
54254975,(2022 EL5),0.010059004,0.022492617,9941.597612,9335863.991,Earth,FALSE,27.11,FALSE
3076813,(2001 BF10),0.080270317,0.179489885,32253.32234,3965265.198,Earth,FALSE,22.6,FALSE
3555888,(2011 BC40),0.231502122,0.517654482,95334.14659,69271632.68,Earth,FALSE,20.3,FALSE
3825627,(2018 NT3),0.060891262,0.136157002,36101.81175,54973498.94,Earth,FALSE,23.2,FALSE
54244183,(2022 BX6),0.017805533,0.039814382,66448.24509,32897123.67,Earth,FALSE,25.87,FALSE
2153267,153267 (2001 CB32),0.715409951,1.599705282,76004.55619,26620233.85,Earth,FALSE,17.85,FALSE
2416151,416151 (2002 RQ25),0.197040262,0.44059542,81739.77923,65369478.72,Earth,FALSE,20.65,FALSE
3092284,(2001 BX15),0.127219879,0.284472297,56298.87169,12231611.01,Earth,FALSE,21.6,FALSE
3072969,(2001 BC16),0.04411182,0.098637028,36795.4686,6103587.052,Earth,FALSE,23.9,FALSE
3070801,(2001 CQ36),0.08405334,0.187948982,17755.15799,3287106.099,Earth,FALSE,22.5,FALSE
3566360,(2011 KB),0.025383703,0.056759685,51686.57683,62284570.47,Earth,FALSE,25.1,FALSE
3704262,(2015 BP4),0.055533491,0.124176661,29010.89844,56207197.66,Earth,FALSE,23.4,FALSE
3758926,(2016 RT1),0.110803882,0.247765013,72215.13369,66325037.48,Earth,FALSE,21.9,TRUE
3795027,(2017 YO3),0.006089126,0.0136157,56007.88235,40322176.03,Earth,FALSE,28.2,FALSE
3799273,(2018 CB2),0.02658,0.059434687,44589.52085,43474532.39,Earth,FALSE,25,FALSE
54017077,(2020 KL),0.029144391,0.065168838,13504.68309,38406629.65,Earth,FALSE,24.8,FALSE
2152941,152941 (2000 FM10),0.791689667,1.770271912,118940.5413,57523444.29,Earth,FALSE,17.63,FALSE
3383904,(2007 RF2),0.192555078,0.430566244,64022.18854,56503227.29,Earth,FALSE,20.7,TRUE
3557543,(2011 CD66),0.011080388,0.024776501,50175.20932,24268700.43,Earth,FALSE,26.9,FALSE
3626614,(2013 CV83),0.04411182,0.098637028,33080.64538,15642716.12,Earth,FALSE,23.9,FALSE
3689268,(2014 SM1),0.020162992,0.045085821,19536.44996,27631391.16,Earth,FALSE,25.6,FALSE
3840753,(2019 FY2),0.008801465,0.019680675,39828.25404,31469185.66,Earth,FALSE,27.4,FALSE
54100190,(2020 XA5),0.037201031,0.083184034,55889.88245,23038052.61,Earth,FALSE,24.27,FALSE
54244187,(2022 CD),0.015942447,0.035648395,55101.59469,29802961.71,Earth,FALSE,26.11,FALSE
3256739,(2004 TK14),0.253837029,0.567596853,17896.05971,65794186.79,Earth,FALSE,20.1,FALSE
3457435,(2009 HS2),0.107784169,0.241012728,80962.55357,74352320.54,Earth,FALSE,21.96,FALSE
3457846,(2009 HG21),0.02658,0.059434687,86729.70747,63780124.74,Earth,FALSE,25,FALSE
3576469,(2011 QS2),0.192555078,0.430566244,83629.22202,54742517.36,Earth,FALSE,20.7,FALSE
3599929,(2012 DT32),0.146067964,0.326617897,49766.11468,14507713.65,Earth,FALSE,21.3,FALSE
3727341,(2015 RQ82),0.096506147,0.215794305,85709.75875,72869350.64,Earth,FALSE,22.2,FALSE
3769886,(2017 DA36),0.025383703,0.056759685,18999.3933,47869022.03,Earth,FALSE,25.1,FALSE
3790060,(2017 WP28),0.183888672,0.411187571,121247.4982,33073294.76,Earth,FALSE,20.8,FALSE
3799713,(2018 DU),0.00581507,0.013002893,54355.29456,55502078.67,Earth,FALSE,28.3,FALSE
3837955,(2019 BA1),0.096951599,0.216790366,66869.02332,34898057.31,Earth,FALSE,22.19,FALSE
54048828,(2020 NK1),0.429096504,0.959488953,107854.1591,48575907.25,Earth,FALSE,18.96,TRUE
2585734,585734 (2019 BA1),0.096506147,0.215794305,66869.02343,34898057.27,Earth,FALSE,22.2,FALSE
54215193,(2021 VB),0.018136563,0.040554587,29161.60806,69299379.88,Earth,FALSE,25.83,FALSE
2141432,141432 (2002 CQ11),0.2658,0.594346868,96280.17839,64462290.79,Earth,FALSE,20,TRUE
3402249,(2008 CK70),0.027832677,0.062235757,100535.1041,61498133.51,Earth,FALSE,24.9,FALSE
3702706,(2014 YS),0.033462237,0.074823838,58976.5516,33995099.81,Earth,FALSE,24.5,FALSE
3740101,(2016 AB166),0.035039264,0.078350176,116288.9995,54713963.61,Earth,FALSE,24.4,FALSE
3752430,(2016 HD3),0.006676594,0.014929318,81281.73528,74233380.7,Earth,FALSE,28,FALSE
3568329,(2011 MW1),0.092162655,0.206081961,31955.81022,5953324.683,Earth,FALSE,22.3,FALSE
3596682,(2012 BL77),0.058150704,0.130028927,51927.27229,37815573.63,Earth,FALSE,23.3,FALSE
3662632,(2014 DD23),0.121494041,0.271668934,28651.90832,53424665.77,Earth,FALSE,21.7,FALSE
3683393,(2014 QN266),0.014606796,0.03266179,7780.340113,16013249.11,Earth,FALSE,26.3,FALSE
3704769,(2015 BG92),0.025383703,0.056759685,14765.52852,9783698.634,Earth,FALSE,25.1,FALSE
3709250,(2015 BY512),0.139493823,0.311917671,63761.51776,62794609.23,Earth,FALSE,21.4,FALSE
3722211,(2015 MN66),0.253837029,0.567596853,89482.66473,65598076.58,Earth,FALSE,20.1,FALSE
3767164,(2017 BO30),0.04411182,0.098637028,69419.97729,52663195.96,Earth,FALSE,23.9,FALSE
3769817,(2017 DU34),0.011602591,0.025944182,85338.95008,53777267.5,Earth,FALSE,26.8,FALSE
3989280,(2020 BQ12),0.033462237,0.074823838,43227.96211,24120846.46,Earth,FALSE,24.5,FALSE
54187638,(2021 QR),0.11982708,0.267941497,86220.61115,42853865.74,Earth,FALSE,21.73,FALSE
